Months,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
0,31.1,31.7,31.9,32.4,32.7,33.1,33.9,34.7,35.1,35.4,35.8,36.1,36.6,37.5
1,33.8,34.3,34.6,35,35.3,35.8,36.5,37.3,37.8,38,38.5,38.8,39.3,40.2
2,35.4,36,36.3,36.7,37,37.4,38.3,39.1,39.5,39.8,40.2,40.5,41.1,42
3,36.6,37.2,37.5,37.9,38.2,38.7,39.5,40.4,40.8,41.1,41.6,41.9,42.4,43.4
4,37.6,38.2,38.5,39,39.3,39.7,40.6,41.4,41.9,42.2,42.7,43,43.5,44.5
5,38.5,39,39.3,39.8,40.1,40.6,41.5,42.3,42.8,43.1,43.6,43.9,44.5,45.4
6,39.2,39.7,40.1,40.5,40.8,41.3,42.2,43.1,43.5,43.9,44.3,44.6,45.2,46.2
7,39.8,40.4,40.7,41.1,41.5,41.9,42.8,43.7,44.2,44.5,45,45.3,45.9,46.9
8,40.3,40.9,41.2,41.7,42,42.5,43.4,44.3,44.7,45.1,45.6,45.9,46.5,47.5
9,40.7,41.3,41.6,42.1,42.4,42.9,43.8,44.7,45.2,45.5,46,46.3,46.9,48
10,41.1,41.7,42,42.5,42.8,43.3,44.2,45.1,45.6,46,46.4,46.8,47.4,48.4
11,41.4,42,42.4,42.9,43.2,43.7,44.6,45.5,46,46.3,46.8,47.1,47.7,48.8
12,41.7,42.3,42.7,43.2,43.5,44,44.9,45.8,46.3,46.6,47.1,47.5,48.1,49.1
13,42,42.6,42.9,43.4,43.8,44.3,45.2,46.1,46.6,46.9,47.4,47.7,48.3,49.4
14,42.2,42.9,43.2,43.7,44,44.5,45.4,46.3,46.8,47.2,47.7,48,48.6,49.7
15,42.5,43.1,43.4,43.9,44.2,44.7,45.7,46.6,47.1,47.4,47.9,48.2,48.8,49.9
16,42.7,43.3,43.6,44.1,44.4,44.9,45.9,46.8,47.3,47.6,48.1,48.5,49.1,50.1
17,42.9,43.5,43.8,44.3,44.6,45.1,46.1,47,47.5,47.8,48.3,48.7,49.3,50.3
18,43,43.6,44,44.5,44.8,45.3,46.2,47.2,47.7,48,48.5,48.8,49.5,50.5
19,43.2,43.8,44.1,44.6,45,45.5,46.4,47.3,47.8,48.2,48.7,49,49.6,50.7
20,43.4,44,44.3,44.8,45.1,45.6,46.6,47.5,48,48.4,48.9,49.2,49.8,50.9
21,43.5,44.1,44.5,45,45.3,45.8,46.7,47.7,48.2,48.5,49,49.4,50,51
22,43.7,44.3,44.6,45.1,45.4,46,46.9,47.8,48.3,48.7,49.2,49.5,50.1,51.2
23,43.8,44.4,44.7,45.3,45.6,46.1,47,48,48.5,48.8,49.3,49.7,50.3,51.3
24,43.9,44.6,44.9,45.4,45.7,46.2,47.2,48.1,48.6,49,49.5,49.8,50.4,51.5
25,44.1,44.7,45,45.5,45.9,46.4,47.3,48.3,48.8,49.1,49.6,49.9,50.6,51.6
26,44.2,44.8,45.2,45.7,46,46.5,47.5,48.4,48.9,49.2,49.8,50.1,50.7,51.8
27,44.3,44.9,45.3,45.8,46.1,46.6,47.6,48.5,49,49.4,49.9,50.2,50.8,51.9
28,44.4,45.1,45.4,45.9,46.3,46.8,47.7,48.7,49.2,49.5,50,50.3,51,52
