Months,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99
0,2.3,2.4,2.5,2.7,2.8,2.9,3.2,3.6,3.7,3.9,4,4.2,4.4
1,3,3.2,3.3,3.5,3.6,3.8,4.2,4.6,4.8,5,5.2,5.4,5.7
2,3.8,4,4.1,4.3,4.5,4.7,5.1,5.6,5.9,6,6.3,6.5,6.9
3,4.4,4.6,4.7,5,5.1,5.4,5.8,6.4,6.7,6.9,7.2,7.4,7.8
4,4.8,5.1,5.2,5.5,5.6,5.9,6.4,7,7.3,7.5,7.9,8.1,8.6
5,5.2,5.5,5.6,5.9,6.1,6.4,6.9,7.5,7.8,8.1,8.4,8.7,9.2
6,5.5,5.8,6,6.2,6.4,6.7,7.3,7.9,8.3,8.5,8.9,9.2,9.7
7,5.8,6.1,6.3,6.5,6.7,7,7.6,8.3,8.7,8.9,9.4,9.6,10.2
8,6,6.3,6.5,6.8,7,7.3,7.9,8.6,9,9.3,9.7,10,10.6
9,6.2,6.6,6.8,7,7.3,7.6,8.2,8.9,9.3,9.6,10.1,10.4,11
10,6.4,6.8,7,7.3,7.5,7.8,8.5,9.2,9.6,9.9,10.4,10.7,11.3
11,6.6,7,7.2,7.5,7.7,8,8.7,9.5,9.9,10.2,10.7,11,11.7
12,6.8,7.1,7.3,7.7,7.9,8.2,8.9,9.7,10.2,10.5,11,11.3,12
13,6.9,7.3,7.5,7.9,8.1,8.4,9.2,10,10.4,10.8,11.3,11.6,12.3
14,7.1,7.5,7.7,8,8.3,8.6,9.4,10.2,10.7,11,11.5,11.9,12.6
15,7.3,7.7,7.9,8.2,8.5,8.8,9.6,10.4,10.9,11.3,11.8,12.2,12.9
16,7.4,7.8,8.1,8.4,8.7,9,9.8,10.7,11.2,11.5,12.1,12.5,13.2
17,7.6,8,8.2,8.6,8.8,9.2,10,10.9,11.4,11.8,12.3,12.7,13.5
18,7.8,8.2,8.4,8.8,9,9.4,10.2,11.1,11.6,12,12.6,13,13.8
19,7.9,8.3,8.6,8.9,9.2,9.6,10.4,11.4,11.9,12.3,12.9,13.3,14.1
20,8.1,8.5,8.7,9.1,9.4,9.8,10.6,11.6,12.1,12.5,13.1,13.5,14.4
21,8.2,8.7,8.9,9.3,9.6,10,10.9,11.8,12.4,12.8,13.4,13.8,14.6
22,8.4,8.8,9.1,9.5,9.8,10.2,11.1,12,12.6,13,13.6,14.1,14.9
23,8.5,9,9.2,9.7,9.9,10.4,11.3,12.3,12.8,13.3,13.9,14.3,15.2
24,8.7,9.2,9.4,9.8,10.1,10.6,11.5,12.5,13.1,13.5,14.2,14.6,15.5
25,8.9,9.3,9.6,10,10.3,10.8,11.7,12.7,13.3,13.8,14.4,14.9,15.8
26,9,9.5,9.8,10.2,10.5,10.9,11.9,12.9,13.6,14,14.7,15.2,16.1
27,9.2,9.6,9.9,10.4,10.7,11.1,12.1,13.2,13.8,14.3,15,15.4,16.4
28,9.3,9.8,10.1,10.5,10.8,11.3,12.3,13.4,14,14.5,15.2,15.7,16.7
29,9.5,10,10.2,10.7,11,11.5,12.5,13.6,14.3,14.7,15.5,16,17
30,9.6,10.1,10.4,10.9,11.2,11.7,12.7,13.8,14.5,15,15.7,16.2,17.3
31,9.7,10.3,10.5,11,11.3,11.9,12.9,14.1,14.7,15.2,16,16.5,17.6
32,9.9,10.4,10.7,11.2,11.5,12,13.1,14.3,15,15.5,16.2,16.8,17.8
33,10,10.5,10.8,11.3,11.7,12.2,13.3,14.5,15.2,15.7,16.5,17,18.1
34,10.1,10.7,11,11.5,11.8,12.4,13.5,14.7,15.4,15.9,16.8,17.3,18.4
35,10.3,10.8,11.1,11.6,12,12.5,13.7,14.9,15.7,16.2,17,17.6,18.7
36,10.4,11,11.3,11.8,12.1,12.7,13.9,15.1,15.9,16.4,17.3,17.8,19
37,10.5,11.1,11.4,11.9,12.3,12.9,14,15.3,16.1,16.7,17.5,18.1,19.3
38,10.6,11.2,11.6,12.1,12.5,13,14.2,15.6,16.3,16.9,17.8,18.4,19.6
39,10.8,11.4,11.7,12.2,12.6,13.2,14.4,15.8,16.6,17.1,18,18.6,19.9
40,10.9,11.5,11.8,12.4,12.8,13.4,14.6,16,16.8,17.4,18.3,18.9,20.2
41,11,11.6,12,12.5,12.9,13.5,14.8,16.2,17,17.6,18.6,19.2,20.5
42,11.1,11.8,12.1,12.7,13.1,13.7,15,16.4,17.3,17.9,18.8,19.5,20.8
43,11.3,11.9,12.2,12.8,13.2,13.9,15.2,16.6,17.5,18.1,19.1,19.7,21.1
44,11.4,12,12.4,13,13.4,14,15.3,16.8,17.7,18.3,19.3,20,21.4
45,11.5,12.1,12.5,13.1,13.5,14.2,15.5,17,17.9,18.6,19.6,20.3,21.7
46,11.6,12.3,12.6,13.2,13.7,14.3,15.7,17.3,18.2,18.8,19.9,20.6,22
47,11.7,12.4,12.8,13.4,13.8,14.5,15.9,17.5,18.4,19.1,20.1,20.8,22.3
48,11.8,12.5,12.9,13.5,14,14.7,16.1,17.7,18.6,19.3,20.4,21.1,22.6
49,11.9,12.6,13,13.7,14.1,14.8,16.3,17.9,18.9,19.5,20.6,21.4,22.9
50,12.1,12.8,13.2,13.8,14.3,15,16.4,18.1,19.1,19.8,20.9,21.7,23.2
51,12.2,12.9,13.3,13.9,14.4,15.1,16.6,18.3,19.3,20,21.2,22,23.5
52,12.3,13,13.4,14.1,14.5,15.3,16.8,18.5,19.5,20.3,21.4,22.2,23.9
53,12.4,13.1,13.5,14.2,14.7,15.4,17,18.7,19.8,20.5,21.7,22.5,24.2
54,12.5,13.2,13.7,14.3,14.8,15.6,17.2,18.9,20,20.8,22,22.8,24.5
55,12.6,13.4,13.8,14.5,15,15.8,17.3,19.1,20.2,21,22.2,23.1,24.8
56,12.7,13.5,13.9,14.6,15.1,15.9,17.5,19.3,20.4,21.2,22.5,23.3,25.1
57,12.8,13.6,14,14.8,15.3,16.1,17.7,19.6,20.7,21.5,22.7,23.6,25.4
58,12.9,13.7,14.2,14.9,15.4,16.2,17.9,19.8,20.9,21.7,23,23.9,25.7
59,13.1,13.8,14.3,15,15.5,16.4,18,20,21.1,21.9,23.3,24.2,26
60,13.2,14,14.4,15.2,15.7,16.5,18.2,20.2,21.3,22.2,23.5,24.4,26.3
